time: 0.144243; process: 2; threads: 1; node: 1; image: images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif; n_images: 10; w: 480; h: 480; beta: 1; root_work: 1; gpu: 1 
time: 0.103515; process: 2; threads: 1; node: 1; image: images/original/wave.gif; n_images: 1; w: 1024; h: 1024; beta: 1; root_work: 1; gpu: 1 
time: 0.101253; process: 2; threads: 1; node: 1; image: images/original/wave.gif; n_images: 1; w: 1024; h: 1024; beta: 1; root_work: 1; gpu: 1 
time: 0.129246; process: 2; threads: 2; node: 1; image: images/original/051009.vince.gif; n_images: 1; w: 1484; h: 913; beta: 1; root_work: 1; gpu: 1 
time: 0.127320; process: 2; threads: 2; node: 1; image: images/original/051009.vince.gif; n_images: 1; w: 1484; h: 913; beta: 1; root_work: 1; gpu: 1 
time: 0.174526; process: 2; threads: 2; node: 1; image: images/original/1.gif; n_images: 10; w: 500; h: 500; beta: 1; root_work: 1; gpu: 1 
time: 0.172394; process: 2; threads: 2; node: 1; image: images/original/1.gif; n_images: 10; w: 500; h: 500; beta: 1; root_work: 1; gpu: 1 
time: 0.068078; process: 2; threads: 2; node: 1; image: images/original/200_s.gif; n_images: 1; w: 200; h: 200; beta: 1; root_work: 1; gpu: 1 
time: 0.068902; process: 2; threads: 2; node: 1; image: images/original/200_s.gif; n_images: 1; w: 200; h: 200; beta: 1; root_work: 1; gpu: 1 
time: 0.128175; process: 2; threads: 2; node: 1; image: images/original/9815573.gif; n_images: 10; w: 500; h: 281; beta: 1; root_work: 1; gpu: 1 
time: 0.128303; process: 2; threads: 2; node: 1; image: images/original/9815573.gif; n_images: 10; w: 500; h: 281; beta: 1; root_work: 1; gpu: 1 
time: 0.103135; process: 2; threads: 2; node: 1; image: images/original/australian-flag-large.gif; n_images: 1; w: 1200; h: 600; beta: 1; root_work: 1; gpu: 1 
time: 0.107164; process: 2; threads: 2; node: 1; image: images/original/australian-flag-large.gif; n_images: 1; w: 1200; h: 600; beta: 1; root_work: 1; gpu: 1 
time: 2.897167; process: 2; threads: 2; node: 1; image: images/original/Campusplan-Hausnr.gif; n_images: 1; w: 9932; h: 7016; beta: 1; root_work: 1; gpu: 1 
time: 3.083736; process: 2; threads: 2; node: 1; image: images/original/Campusplan-Hausnr.gif; n_images: 1; w: 9932; h: 7016; beta: 1; root_work: 1; gpu: 1 
time: 3.081882; process: 2; threads: 2; node: 1; image: images/original/Campusplan-Mobilitaetsbeschraenkte.gif; n_images: 1; w: 9933; h: 7016; beta: 1; root_work: 1; gpu: 1 
